,Player,Games Played,Goals,Assists,Minutes per Goal,Total Minutes Played,Current Market Value,Market Value at Purchase,Age_x,Height_x,Overall,Potential,International Reputation,Weak Foot,Skill Moves,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,Best Overall Rating,DefensiveAwareness
172,Neal Maupay,20.0,8.0,1.0,190.0,1517.0,22000000.0,13200000.0,25.0,1.73,77.0,82.0,1.0,4.0,3.0,61.0,80.0,73.0,74.0,76.0,68.0,63.0,55.0,59.0,78.0,79.0,76.0,76.0,79.0,81.0,78.0,59.0,74.0,67.0,71.0,80.0,26.0,82.0,69.0,80.0,69.0,55.0,33.0,79.0,30.0
173,Jérémie Boga,12.0,0.0,3.0,0.0,673.0,22000000.0,2750000.0,25.0,1.74,77.0,83.0,1.0,3.0,4.0,78.0,72.0,59.0,73.0,60.0,84.0,78.0,64.0,69.0,79.0,90.0,81.0,88.0,67.0,82.0,80.0,61.0,68.0,63.0,75.0,56.0,41.0,72.0,68.0,55.0,73.0,42.0,34.0,78.0,24.0
174,Patrick Bamford,8.0,2.0,3.0,285.0,570.0,22000000.0,4400000.0,28.0,1.85,78.0,78.0,2.0,3.0,3.0,59.0,82.0,75.0,72.0,69.0,70.0,68.0,59.0,63.0,78.0,71.0,75.0,69.0,80.0,66.0,80.0,68.0,91.0,76.0,69.0,62.0,47.0,83.0,71.0,74.0,74.0,27.0,20.0,78.0,50.0
175,Bertrand Traoré,7.0,0.0,0.0,0.0,214.0,22000000.0,10450000.0,26.0,1.81,77.0,78.0,2.0,1.0,4.0,73.0,75.0,66.0,74.0,72.0,82.0,79.0,73.0,68.0,86.0,77.0,79.0,88.0,69.0,59.0,73.0,75.0,69.0,65.0,68.0,60.0,54.0,73.0,74.0,69.0,74.0,40.0,37.0,78.0,40.0
178,Callum Wilson,15.0,6.0,0.0,198.0,1187.0,22000000.0,22000000.0,29.0,1.8,79.0,79.0,2.0,3.0,4.0,61.0,82.0,78.0,72.0,71.0,78.0,63.0,45.0,62.0,79.0,77.0,83.0,75.0,79.0,72.0,77.0,70.0,76.0,79.0,68.0,74.0,40.0,83.0,70.0,83.0,79.0,40.0,27.0,79.0,36.0
179,Erik Lamela,16.0,4.0,2.0,180.0,718.0,22000000.0,17600000.0,29.0,1.84,78.0,78.0,2.0,2.0,4.0,77.0,74.0,60.0,80.0,75.0,83.0,84.0,81.0,75.0,82.0,74.0,67.0,77.0,79.0,75.0,81.0,56.0,61.0,64.0,80.0,90.0,53.0,79.0,78.0,75.0,75.0,50.0,54.0,79.0,52.0
180,Thorgan Hazard,19.0,5.0,1.0,174.0,871.0,22000000.0,41800000.0,28.0,1.75,82.0,82.0,2.0,4.0,4.0,81.0,74.0,42.0,82.0,77.0,85.0,82.0,81.0,72.0,84.0,84.0,76.0,91.0,81.0,88.0,77.0,60.0,78.0,65.0,76.0,57.0,63.0,80.0,82.0,79.0,78.0,47.0,49.0,82.0,58.0
181,Alexandre Lacazette,20.0,5.0,4.0,222.0,1108.0,22000000.0,44000000.0,30.0,1.76,82.0,82.0,3.0,4.0,4.0,68.0,83.0,75.0,79.0,79.0,83.0,74.0,74.0,70.0,82.0,77.0,73.0,81.0,82.0,82.0,87.0,76.0,66.0,75.0,78.0,73.0,42.0,82.0,75.0,79.0,80.0,45.0,32.0,82.0,39.0
182,Julian Draxler,14.0,2.0,2.0,299.0,598.0,22000000.0,30800000.0,28.0,1.85,80.0,80.0,3.0,5.0,4.0,79.0,74.0,64.0,81.0,77.0,83.0,77.0,76.0,77.0,84.0,76.0,73.0,80.0,78.0,74.0,80.0,77.0,68.0,67.0,78.0,56.0,66.0,78.0,81.0,65.0,82.0,64.0,44.0,80.0,48.0
184,Mikkel Damsgaard,8.0,0.0,0.0,0.0,552.0,19800000.0,7150000.0,21.0,1.8,77.0,87.0,2.0,3.0,4.0,63.0,71.0,51.0,74.0,48.0,83.0,66.0,82.0,70.0,80.0,90.0,81.0,91.0,70.0,86.0,71.0,72.0,74.0,57.0,72.0,64.0,45.0,74.0,77.0,47.0,74.0,46.0,40.0,79.0,52.0
185,Amad Diallo,3.0,2.0,1.0,124.0,248.0,19800000.0,16500000.0,19.0,1.73,78.0,82.0,2.0,3.0,3.0,69.0,38.0,78.0,78.0,39.0,75.0,58.0,32.0,76.0,78.0,72.0,76.0,73.0,77.0,71.0,51.0,84.0,74.0,77.0,24.0,77.0,78.0,61.0,69.0,41.0,81.0,78.0,81.0,80.0,77.0
187,Noni Madueke,18.0,6.0,1.0,171.0,1025.0,19800000.0,5500000.0,19.0,1.82,77.0,88.0,1.0,4.0,4.0,65.0,72.0,42.0,71.0,67.0,86.0,75.0,63.0,64.0,82.0,92.0,89.0,84.0,74.0,79.0,73.0,76.0,64.0,64.0,72.0,53.0,31.0,67.0,69.0,61.0,72.0,32.0,37.0,78.0,42.0
188,Manor Solomon,26.0,4.0,2.0,368.0,1470.0,19800000.0,1650000.0,22.0,1.7,76.0,86.0,1.0,4.0,3.0,73.0,72.0,38.0,72.0,46.0,81.0,75.0,72.0,68.0,74.0,82.0,80.0,84.0,64.0,82.0,75.0,55.0,75.0,64.0,71.0,30.0,21.0,74.0,73.0,52.0,78.0,47.0,35.0,77.0,39.0
189,Cengiz Ünder,21.0,7.0,1.0,232.0,1627.0,19800000.0,19800000.0,24.0,1.73,77.0,79.0,1.0,4.0,3.0,81.0,70.0,58.0,72.0,69.0,82.0,80.0,68.0,65.0,81.0,84.0,78.0,84.0,71.0,82.0,83.0,47.0,67.0,50.0,80.0,37.0,29.0,75.0,74.0,72.0,68.0,33.0,30.0,78.0,43.0
190,Umar Sadiq,21.0,9.0,7.0,188.0,1694.0,19800000.0,6600000.0,24.0,1.92,75.0,81.0,1.0,3.0,3.0,49.0,80.0,73.0,68.0,65.0,74.0,61.0,41.0,45.0,75.0,80.0,85.0,65.0,68.0,45.0,79.0,79.0,69.0,87.0,63.0,42.0,19.0,71.0,59.0,71.0,64.0,20.0,19.0,77.0,37.0
192,Daniel James,20.0,2.0,2.0,747.0,1493.0,19800000.0,19800000.0,24.0,1.7,77.0,82.0,1.0,4.0,3.0,75.0,72.0,44.0,74.0,58.0,73.0,74.0,54.0,58.0,76.0,96.0,95.0,85.0,75.0,83.0,79.0,53.0,83.0,52.0,69.0,70.0,42.0,73.0,68.0,64.0,69.0,45.0,34.0,78.0,54.0
193,Lukas Nmecha,21.0,8.0,0.0,166.0,1331.0,19800000.0,13200000.0,23.0,1.85,74.0,81.0,1.0,4.0,3.0,58.0,73.0,63.0,71.0,66.0,76.0,58.0,48.0,58.0,78.0,78.0,86.0,72.0,73.0,63.0,76.0,79.0,80.0,79.0,68.0,71.0,36.0,72.0,68.0,81.0,71.0,33.0,27.0,76.0,43.0
194,Steven Bergwijn,13.0,1.0,2.0,574.0,574.0,19800000.0,38500000.0,24.0,1.78,80.0,84.0,2.0,2.0,4.0,77.0,75.0,60.0,80.0,75.0,84.0,78.0,66.0,63.0,82.0,87.0,84.0,79.0,78.0,89.0,84.0,68.0,74.0,75.0,81.0,50.0,34.0,78.0,77.0,68.0,76.0,28.0,26.0,81.0,52.0
195,Gelson Martins,29.0,4.0,2.0,412.0,1648.0,19800000.0,30800000.0,26.0,1.73,78.0,79.0,3.0,3.0,5.0,71.0,69.0,51.0,73.0,74.0,85.0,82.0,60.0,55.0,78.0,93.0,93.0,91.0,74.0,89.0,77.0,67.0,88.0,48.0,69.0,60.0,50.0,71.0,73.0,66.0,76.0,51.0,48.0,78.0,54.0
197,Adam Armstrong,20.0,2.0,3.0,672.0,1344.0,19800000.0,19800000.0,24.0,1.73,76.0,82.0,1.0,4.0,3.0,62.0,79.0,66.0,70.0,68.0,74.0,69.0,63.0,58.0,74.0,93.0,88.0,87.0,76.0,90.0,76.0,84.0,81.0,61.0,76.0,79.0,41.0,78.0,67.0,71.0,75.0,23.0,25.0,78.0,36.0
198,Alex Iwobi,15.0,2.0,1.0,461.0,922.0,19800000.0,27500000.0,25.0,1.83,77.0,79.0,2.0,3.0,4.0,72.0,63.0,44.0,77.0,51.0,83.0,70.0,40.0,65.0,80.0,75.0,79.0,77.0,74.0,75.0,72.0,47.0,74.0,72.0,62.0,54.0,35.0,75.0,75.0,59.0,73.0,41.0,31.0,78.0,38.0
199,Gaëtan Laborde,27.0,14.0,4.0,159.0,2220.0,19800000.0,16500000.0,27.0,1.81,80.0,81.0,2.0,4.0,3.0,74.0,80.0,84.0,80.0,84.0,79.0,70.0,59.0,71.0,80.0,75.0,79.0,71.0,78.0,63.0,78.0,88.0,88.0,83.0,75.0,72.0,36.0,82.0,78.0,69.0,80.0,34.0,23.0,81.0,38.0
200,João Pedro,23.0,9.0,4.0,223.0,2007.0,19800000.0,1650000.0,29.0,1.84,80.0,80.0,1.0,4.0,4.0,69.0,82.0,73.0,81.0,72.0,81.0,80.0,76.0,74.0,83.0,74.0,71.0,72.0,85.0,74.0,77.0,82.0,75.0,74.0,73.0,69.0,42.0,81.0,80.0,69.0,81.0,44.0,28.0,80.0,30.0
204,Nathan Redmond,21.0,2.0,5.0,748.0,1495.0,19800000.0,8250000.0,27.0,1.73,76.0,76.0,2.0,3.0,4.0,70.0,70.0,33.0,73.0,55.0,82.0,72.0,65.0,62.0,79.0,85.0,78.0,88.0,72.0,86.0,81.0,39.0,73.0,50.0,74.0,38.0,30.0,78.0,71.0,57.0,68.0,26.0,30.0,77.0,33.0
205,Willian José,21.0,6.0,5.0,188.0,1127.0,19800000.0,19800000.0,30.0,1.89,78.0,78.0,2.0,4.0,4.0,54.0,80.0,80.0,75.0,73.0,76.0,68.0,60.0,50.0,79.0,62.0,67.0,65.0,78.0,38.0,83.0,79.0,68.0,88.0,74.0,75.0,35.0,81.0,76.0,76.0,77.0,32.0,30.0,78.0,40.0
208,Eden Hazard,16.0,0.0,2.0,0.0,722.0,19800000.0,165000000.0,31.0,1.75,85.0,85.0,4.0,4.0,4.0,77.0,78.0,61.0,85.0,82.0,89.0,83.0,79.0,81.0,88.0,86.0,82.0,87.0,79.0,89.0,82.0,55.0,77.0,61.0,77.0,54.0,41.0,83.0,84.0,87.0,89.0,27.0,22.0,85.0,34.0
210,Roman Yaremchuk,26.0,7.0,5.0,202.0,1414.0,19250000.0,19250000.0,26.0,1.91,77.0,80.0,1.0,3.0,3.0,69.0,78.0,75.0,75.0,72.0,70.0,52.0,54.0,68.0,77.0,73.0,83.0,68.0,76.0,55.0,77.0,76.0,77.0,76.0,73.0,68.0,39.0,80.0,72.0,67.0,67.0,48.0,34.0,79.0,38.0
211,Pedrinho,19.0,4.0,3.0,315.0,1260.0,18700000.0,16500000.0,23.0,1.72,72.0,72.0,1.0,3.0,3.0,72.0,60.0,48.0,70.0,81.0,73.0,77.0,75.0,71.0,72.0,79.0,81.0,79.0,69.0,82.0,83.0,81.0,77.0,45.0,81.0,69.0,51.0,66.0,74.0,72.0,69.0,60.0,56.0,72.0,53.0
213,Odsonne Edouard,30.0,8.0,5.0,223.0,1782.0,18700000.0,18700000.0,24.0,1.87,75.0,83.0,1.0,4.0,4.0,58.0,78.0,72.0,72.0,62.0,80.0,75.0,77.0,55.0,78.0,84.0,82.0,81.0,68.0,84.0,74.0,73.0,77.0,82.0,69.0,55.0,39.0,73.0,73.0,76.0,82.0,46.0,28.0,77.0,44.0
214,Jonathan Burkardt,21.0,10.0,4.0,161.0,1611.0,18700000.0,0.0,21.0,1.83,72.0,82.0,1.0,3.0,3.0,55.0,70.0,62.0,69.0,64.0,81.0,55.0,35.0,61.0,73.0,78.0,79.0,74.0,73.0,72.0,72.0,75.0,74.0,69.0,65.0,70.0,35.0,74.0,60.0,55.0,59.0,33.0,31.0,74.0,36.0
215,Rafael Borré,25.0,7.0,5.0,278.0,1943.0,18700000.0,18700000.0,26.0,1.74,78.0,81.0,1.0,3.0,3.0,69.0,80.0,74.0,73.0,72.0,77.0,79.0,67.0,69.0,77.0,83.0,79.0,84.0,79.0,81.0,80.0,83.0,85.0,67.0,70.0,87.0,39.0,84.0,75.0,71.0,81.0,41.0,29.0,80.0,44.0
216,Giovanni Simeone,21.0,12.0,4.0,115.0,1379.0,18700000.0,18700000.0,26.0,1.81,75.0,78.0,2.0,3.0,3.0,40.0,75.0,76.0,68.0,72.0,74.0,69.0,60.0,55.0,75.0,77.0,76.0,75.0,76.0,73.0,79.0,86.0,67.0,69.0,66.0,70.0,24.0,78.0,60.0,71.0,76.0,29.0,26.0,77.0,44.0
218,Ricardo Horta,27.0,13.0,6.0,175.0,2277.0,18700000.0,1930000.0,27.0,1.73,79.0,80.0,1.0,3.0,3.0,75.0,79.0,51.0,77.0,82.0,81.0,78.0,70.0,69.0,79.0,81.0,75.0,83.0,82.0,85.0,78.0,62.0,82.0,64.0,75.0,67.0,55.0,82.0,77.0,71.0,73.0,44.0,35.0,80.0,32.0
219,Moussa Dembélé,14.0,4.0,1.0,237.0,949.0,18700000.0,22000000.0,25.0,1.83,79.0,79.0,3.0,2.0,4.0,65.0,64.0,70.0,83.0,73.0,87.0,65.0,55.0,79.0,86.0,69.0,71.0,77.0,71.0,90.0,77.0,79.0,66.0,83.0,68.0,73.0,78.0,67.0,78.0,63.0,90.0,73.0,68.0,79.0,72.0
223,Arkadiusz Milik,17.0,9.0,0.0,127.0,1140.0,18700000.0,18700000.0,27.0,1.86,81.0,82.0,3.0,3.0,4.0,63.0,85.0,79.0,70.0,78.0,77.0,76.0,84.0,62.0,81.0,60.0,68.0,66.0,76.0,63.0,86.0,65.0,63.0,78.0,82.0,67.0,36.0,84.0,64.0,79.0,78.0,34.0,32.0,81.0,35.0
225,Leandro Trossard,20.0,4.0,1.0,422.0,1686.0,18700000.0,17600000.0,27.0,1.72,77.0,78.0,1.0,4.0,4.0,74.0,76.0,62.0,75.0,74.0,79.0,81.0,69.0,73.0,77.0,89.0,76.0,92.0,72.0,85.0,76.0,78.0,71.0,60.0,79.0,47.0,18.0,75.0,74.0,75.0,80.0,31.0,18.0,78.0,30.0
226,Luis Sinisterra,28.0,14.0,7.0,166.0,2320.0,17600000.0,110000.0,22.0,1.72,77.0,84.0,1.0,4.0,4.0,66.0,70.0,69.0,77.0,72.0,85.0,64.0,42.0,67.0,80.0,92.0,87.0,94.0,71.0,86.0,68.0,89.0,77.0,58.0,59.0,56.0,50.0,72.0,75.0,55.0,71.0,48.0,47.0,79.0,56.0
228,Bryan Mbeumo,20.0,7.0,2.0,222.0,1553.0,17600000.0,3850000.0,22.0,1.71,72.0,80.0,1.0,2.0,4.0,72.0,72.0,54.0,69.0,77.0,73.0,69.0,68.0,64.0,72.0,84.0,82.0,89.0,71.0,75.0,77.0,64.0,76.0,60.0,69.0,53.0,29.0,78.0,72.0,63.0,63.0,41.0,37.0,75.0,34.0
229,Rafa Mir,27.0,9.0,0.0,187.0,1679.0,17600000.0,13200000.0,24.0,1.91,77.0,84.0,1.0,3.0,3.0,67.0,81.0,78.0,72.0,77.0,71.0,60.0,61.0,52.0,74.0,72.0,72.0,62.0,75.0,66.0,82.0,78.0,71.0,82.0,76.0,69.0,39.0,74.0,59.0,75.0,66.0,43.0,35.0,79.0,42.0
230,Andrea Pinamonti,20.0,7.0,1.0,205.0,1435.0,17600000.0,17600000.0,22.0,1.85,68.0,75.0,1.0,3.0,3.0,40.0,73.0,70.0,53.0,72.0,64.0,43.0,47.0,36.0,74.0,64.0,63.0,62.0,67.0,64.0,68.0,64.0,60.0,66.0,67.0,52.0,16.0,70.0,45.0,69.0,60.0,19.0,19.0,70.0,15.0
231,David Brooks,9.0,3.0,0.0,220.0,660.0,17600000.0,5500000.0,24.0,1.73,76.0,82.0,1.0,4.0,4.0,75.0,71.0,61.0,78.0,61.0,80.0,73.0,66.0,67.0,79.0,74.0,73.0,78.0,72.0,77.0,70.0,64.0,69.0,62.0,73.0,64.0,43.0,75.0,76.0,65.0,78.0,49.0,44.0,78.0,47.0
232,Breel Embolo,15.0,4.0,4.0,271.0,1084.0,17600000.0,15400000.0,24.0,1.87,77.0,82.0,2.0,4.0,3.0,63.0,69.0,71.0,76.0,64.0,77.0,68.0,51.0,70.0,74.0,83.0,86.0,67.0,76.0,67.0,84.0,73.0,79.0,85.0,71.0,78.0,44.0,82.0,72.0,66.0,74.0,63.0,38.0,79.0,40.0
233,Ihlas Bebou,15.0,7.0,1.0,161.0,1129.0,17600000.0,13200000.0,27.0,1.83,77.0,77.0,2.0,3.0,4.0,74.0,77.0,64.0,74.0,70.0,82.0,66.0,46.0,53.0,77.0,92.0,89.0,83.0,77.0,74.0,76.0,70.0,75.0,67.0,71.0,40.0,31.0,80.0,69.0,67.0,73.0,35.0,33.0,79.0,26.0
234,Suso,12.0,0.0,1.0,0.0,615.0,17600000.0,19250000.0,28.0,1.77,82.0,82.0,2.0,3.0,4.0,84.0,72.0,50.0,84.0,72.0,87.0,87.0,81.0,75.0,88.0,78.0,75.0,80.0,78.0,82.0,78.0,50.0,72.0,54.0,87.0,38.0,20.0,75.0,83.0,72.0,77.0,23.0,18.0,82.0,48.0
235,Emil Forsberg,25.0,6.0,2.0,229.0,1373.0,17600000.0,770000.0,30.0,1.79,81.0,81.0,3.0,4.0,4.0,82.0,74.0,44.0,86.0,65.0,83.0,79.0,75.0,76.0,86.0,72.0,68.0,78.0,83.0,82.0,71.0,53.0,69.0,59.0,72.0,61.0,44.0,77.0,84.0,71.0,79.0,27.0,20.0,81.0,38.0
236,Jonas Hofmann,16.0,7.0,1.0,168.0,1177.0,17600000.0,4400000.0,29.0,1.76,79.0,79.0,2.0,4.0,3.0,80.0,75.0,40.0,81.0,64.0,78.0,77.0,71.0,81.0,79.0,75.0,75.0,77.0,83.0,77.0,68.0,61.0,86.0,64.0,69.0,47.0,74.0,82.0,81.0,71.0,81.0,49.0,52.0,80.0,62.0
238,Harvey Elliott,4.0,0.0,0.0,0.0,250.0,16500000.0,16500000.0,18.0,1.7,73.0,87.0,1.0,4.0,4.0,72.0,64.0,40.0,73.0,48.0,77.0,56.0,57.0,68.0,77.0,82.0,77.0,87.0,69.0,86.0,60.0,40.0,66.0,33.0,62.0,32.0,30.0,67.0,76.0,59.0,70.0,29.0,21.0,75.0,32.0
239,Yunus Musah,18.0,2.0,1.0,354.0,707.0,16500000.0,220000.0,19.0,1.78,71.0,82.0,1.0,3.0,4.0,64.0,62.0,44.0,68.0,48.0,74.0,60.0,40.0,60.0,73.0,86.0,89.0,68.0,57.0,66.0,77.0,64.0,73.0,70.0,73.0,59.0,59.0,70.0,59.0,50.0,63.0,57.0,58.0,72.0,58.0
240,Krépin Diatta,13.0,2.0,0.0,265.0,530.0,16500000.0,19800000.0,22.0,1.75,76.0,83.0,1.0,4.0,4.0,67.0,68.0,62.0,69.0,68.0,79.0,62.0,42.0,65.0,74.0,92.0,94.0,91.0,70.0,78.0,73.0,94.0,89.0,62.0,73.0,57.0,48.0,65.0,69.0,59.0,71.0,32.0,50.0,77.0,55.0
242,Jack Harrison,19.0,3.0,2.0,480.0,1440.0,16500000.0,16500000.0,25.0,1.75,78.0,84.0,1.0,3.0,4.0,76.0,71.0,45.0,73.0,62.0,79.0,70.0,56.0,62.0,78.0,84.0,82.0,82.0,75.0,81.0,75.0,63.0,85.0,65.0,68.0,57.0,36.0,75.0,76.0,64.0,73.0,43.0,44.0,79.0,42.0
243,Myron Boadu,27.0,2.0,2.0,557.0,1113.0,16500000.0,15400000.0,21.0,1.83,76.0,85.0,1.0,5.0,3.0,52.0,78.0,61.0,68.0,72.0,75.0,62.0,44.0,54.0,75.0,91.0,88.0,85.0,80.0,76.0,77.0,83.0,75.0,68.0,67.0,47.0,23.0,79.0,66.0,66.0,73.0,22.0,18.0,78.0,29.0
244,Calvin Stengs,15.0,1.0,0.0,803.0,803.0,16500000.0,15400000.0,23.0,1.87,77.0,84.0,2.0,3.0,4.0,70.0,65.0,42.0,77.0,71.0,77.0,75.0,62.0,72.0,85.0,75.0,76.0,81.0,79.0,69.0,75.0,55.0,76.0,58.0,67.0,42.0,27.0,75.0,81.0,52.0,78.0,31.0,30.0,79.0,37.0
245,Arthur Cabral,31.0,27.0,8.0,94.0,2540.0,16500000.0,2970000.0,23.0,1.86,77.0,85.0,1.0,4.0,3.0,50.0,79.0,78.0,74.0,76.0,73.0,63.0,30.0,56.0,76.0,72.0,72.0,72.0,74.0,68.0,78.0,83.0,74.0,87.0,70.0,61.0,24.0,77.0,68.0,75.0,71.0,27.0,25.0,79.0,27.0
246,Timothy Weah,19.0,0.0,4.0,0.0,980.0,16500000.0,6600000.0,21.0,1.85,74.0,81.0,2.0,3.0,3.0,62.0,73.0,67.0,71.0,71.0,75.0,64.0,45.0,63.0,75.0,86.0,88.0,87.0,74.0,71.0,70.0,69.0,60.0,65.0,69.0,52.0,44.0,76.0,72.0,60.0,70.0,44.0,38.0,76.0,41.0
247,Joelinton,21.0,1.0,1.0,1480.0,1480.0,16500000.0,38500000.0,25.0,1.86,74.0,78.0,1.0,3.0,3.0,44.0,70.0,75.0,75.0,65.0,75.0,52.0,38.0,58.0,74.0,74.0,77.0,69.0,72.0,66.0,81.0,76.0,73.0,82.0,62.0,78.0,45.0,72.0,69.0,61.0,72.0,48.0,38.0,76.0,29.0
248,Karl Toko Ekambi,23.0,11.0,4.0,142.0,1564.0,16500000.0,15400000.0,29.0,1.85,78.0,78.0,2.0,4.0,3.0,73.0,79.0,74.0,74.0,75.0,77.0,67.0,63.0,61.0,76.0,83.0,87.0,78.0,79.0,73.0,81.0,71.0,76.0,74.0,73.0,48.0,21.0,81.0,73.0,72.0,76.0,14.0,18.0,78.0,23.0
249,Mehdi Taremi,27.0,11.0,8.0,194.0,2129.0,16500000.0,11000000.0,29.0,1.87,79.0,79.0,1.0,4.0,4.0,68.0,81.0,70.0,74.0,74.0,81.0,74.0,43.0,64.0,83.0,77.0,76.0,73.0,81.0,65.0,81.0,74.0,80.0,76.0,74.0,46.0,23.0,83.0,73.0,76.0,81.0,41.0,25.0,79.0,38.0
250,Taiwo Awoniyi,27.0,14.0,3.0,125.0,1750.0,16500000.0,5500000.0,24.0,1.83,74.0,79.0,1.0,2.0,3.0,57.0,76.0,71.0,71.0,64.0,72.0,55.0,35.0,56.0,69.0,79.0,77.0,70.0,73.0,70.0,78.0,81.0,66.0,80.0,65.0,77.0,33.0,72.0,53.0,68.0,63.0,27.0,23.0,76.0,25.0
251,Ludovic Ajorque,20.0,10.0,6.0,155.0,1545.0,16500000.0,990000.0,27.0,1.97,78.0,79.0,2.0,3.0,3.0,50.0,81.0,83.0,69.0,75.0,72.0,57.0,37.0,48.0,77.0,58.0,61.0,57.0,79.0,31.0,79.0,75.0,76.0,89.0,70.0,69.0,28.0,83.0,69.0,77.0,75.0,19.0,17.0,79.0,17.0
252,Harry Wilson,23.0,9.0,11.0,213.0,1915.0,16500000.0,18700000.0,24.0,1.73,75.0,81.0,1.0,2.0,3.0,76.0,75.0,46.0,74.0,71.0,73.0,86.0,85.0,68.0,75.0,80.0,77.0,79.0,75.0,84.0,84.0,43.0,72.0,54.0,83.0,42.0,40.0,76.0,76.0,78.0,75.0,45.0,40.0,77.0,48.0
253,Santi Mina,22.0,8.0,5.0,210.0,1676.0,16500000.0,33000000.0,26.0,1.81,77.0,81.0,1.0,3.0,3.0,73.0,79.0,76.0,71.0,74.0,77.0,69.0,55.0,65.0,78.0,72.0,78.0,75.0,77.0,70.0,78.0,81.0,73.0,71.0,72.0,69.0,55.0,81.0,68.0,67.0,69.0,46.0,49.0,79.0,39.0
254,Ayoze Pérez,13.0,1.0,3.0,559.0,559.0,16500000.0,22000000.0,28.0,1.78,78.0,78.0,1.0,4.0,4.0,70.0,73.0,77.0,76.0,77.0,81.0,78.0,60.0,62.0,80.0,79.0,76.0,81.0,82.0,79.0,72.0,73.0,79.0,57.0,69.0,74.0,49.0,82.0,76.0,73.0,77.0,61.0,42.0,78.0,61.0
256,Federico Bernardeschi,21.0,1.0,6.0,1355.0,1355.0,16500000.0,33000000.0,27.0,1.83,79.0,79.0,2.0,3.0,4.0,81.0,61.0,53.0,82.0,76.0,85.0,83.0,80.0,71.0,84.0,79.0,79.0,82.0,70.0,79.0,80.0,51.0,70.0,69.0,82.0,50.0,64.0,72.0,80.0,82.0,78.0,59.0,59.0,79.0,64.0
257,Alassane Plea,20.0,3.0,1.0,334.0,1003.0,16500000.0,19800000.0,28.0,1.81,79.0,79.0,2.0,3.0,4.0,78.0,83.0,73.0,78.0,80.0,78.0,82.0,73.0,72.0,79.0,77.0,66.0,80.0,82.0,79.0,82.0,71.0,77.0,75.0,83.0,67.0,39.0,83.0,80.0,64.0,79.0,40.0,30.0,80.0,29.0
259,Rodrigo,15.0,2.0,0.0,579.0,1158.0,16500000.0,44000000.0,30.0,1.82,79.0,79.0,3.0,3.0,4.0,77.0,78.0,78.0,79.0,75.0,79.0,83.0,67.0,62.0,81.0,87.0,86.0,79.0,79.0,74.0,82.0,77.0,75.0,69.0,76.0,68.0,33.0,78.0,77.0,77.0,80.0,43.0,40.0,80.0,46.0
261,Steven Berghuis,24.0,8.0,7.0,214.0,1710.0,16500000.0,13200000.0,30.0,1.82,81.0,81.0,2.0,3.0,4.0,84.0,80.0,48.0,82.0,76.0,81.0,86.0,76.0,80.0,84.0,83.0,78.0,85.0,77.0,75.0,82.0,56.0,77.0,59.0,85.0,70.0,37.0,77.0,82.0,84.0,80.0,36.0,30.0,81.0,34.0
